,shirtnumber,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,name,match
342,25,GK,23-263,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,19,0,0,0,Mamardashvili Giorgi,Turkiye-Georgia-June-18-2024-European-Championship
343,7,FW,39-134,90,0,0,0,0,5,3,0,0,32,0,0,0,0.7,0.7,0.1,3,0,23,24,95.8,1,19,0,1,0,Ronaldo Cristiano,Portugal-Czechia-June-18-2024-European-Championship
344,17,LW,25-008,62,0,0,0,0,1,0,1,0,26,1,1,0,0.0,0.0,0.0,1,0,14,22,63.6,0,25,8,3,1,Leão Rafael,Portugal-Czechia-June-18-2024-European-Championship
345,21,LW,27-197,28,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,0,5,11,45.5,0,8,2,1,0,Jota Diogo,Portugal-Czechia-June-18-2024-European-Championship
346,10,"RW,CM",29-313,90,0,0,0,0,2,1,0,0,61,0,0,0,0.1,0.1,0.0,3,0,47,58,81.0,5,48,5,1,1,Silva Bernardo,Portugal-Czechia-June-18-2024-European-Championship
347,20,"LM,RM",30-022,89,0,0,0,0,1,0,0,0,84,0,0,0,0.0,0.0,0.0,3,0,69,79,87.3,16,54,7,1,1,Cancelo João,Portugal-Czechia-June-18-2024-European-Championship
348,2,RM,30-215,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Semedo Nélson,Portugal-Czechia-June-18-2024-European-Championship
349,8,CM,29-284,90,0,0,0,0,2,0,0,0,107,1,1,2,0.0,0.0,0.6,8,0,76,95,80.0,12,67,9,3,1,Fernandes Bruno,Portugal-Czechia-June-18-2024-European-Championship
350,23,CM,24-126,89,0,0,0,0,3,2,0,0,107,2,1,2,0.2,0.2,0.1,6,0,88,99,88.9,10,86,2,1,1,Vitinha,Portugal-Czechia-June-18-2024-European-Championship
351,26,RW,21-187,1,1,0,0,0,1,1,1,0,2,0,0,0,0.7,0.7,0.0,0,0,1,1,100.0,0,0,0,0,0,Conceição Francisco,Portugal-Czechia-June-18-2024-European-Championship
352,5,RM,25-092,62,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.0,3,0,36,41,87.8,2,29,1,3,2,Dalot Diogo,Portugal-Czechia-June-18-2024-European-Championship
353,14,CB,22-298,28,0,0,0,0,0,0,0,0,37,0,0,3,0.0,0.0,0.0,1,1,25,33,75.8,4,22,0,1,1,Inácio Gonçalo,Portugal-Czechia-June-18-2024-European-Championship
354,19,"CB,LM",21-365,89,0,0,0,0,2,1,0,0,105,2,1,0,0.1,0.1,0.0,2,0,75,90,83.3,5,69,2,4,0,Mendes Nuno,Portugal-Czechia-June-18-2024-European-Championship
355,25,LM,24-101,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,1,0,3,0.0,0,2,1,2,1,Neto Pedro,Portugal-Czechia-June-18-2024-European-Championship
356,3,CB,41-113,90,0,0,0,0,0,0,0,0,85,3,0,0,0.0,0.0,0.0,2,0,74,81,91.4,4,55,1,1,1,Pepe,Portugal-Czechia-June-18-2024-European-Championship
357,4,CB,27-035,90,0,0,0,0,1,0,0,0,104,0,0,3,0.0,0.0,0.1,2,0,87,94,92.6,6,71,2,0,0,Dias Rúben,Portugal-Czechia-June-18-2024-European-Championship
358,22,GK,24-273,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,0,15,0,0,0,Costa Diogo,Portugal-Czechia-June-18-2024-European-Championship
359,11,FW,27-162,59,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,9,12,75.0,3,8,0,0,0,Kuchta Jan,Portugal-Czechia-June-18-2024-European-Championship
360,20,FW,25-255,31,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,5,8,62.5,0,6,1,0,0,Lingr Ondřej,Portugal-Czechia-June-18-2024-European-Championship
361,10,FW,28-146,60,0,0,0,0,0,0,1,0,22,1,1,1,0.0,0.0,0.1,1,0,7,14,50.0,1,9,1,2,0,Schick Patrik,Portugal-Czechia-June-18-2024-European-Championship
362,13,FW,25-050,30,0,0,0,0,1,0,0,0,12,0,0,2,0.0,0.0,0.1,2,1,4,8,50.0,1,8,0,2,1,Chytil Mojmir,Portugal-Czechia-June-18-2024-European-Championship
363,12,LW,26-018,90,0,0,0,0,0,0,0,0,38,3,0,1,0.0,0.0,0.0,0,0,18,24,75.0,2,24,3,3,2,Doudera David,Portugal-Czechia-June-18-2024-European-Championship
364,5,RW,31-301,90,0,1,0,0,0,0,0,0,52,3,2,3,0.0,0.0,0.1,2,1,18,36,50.0,4,20,2,2,0,Coufal Vladimír,Portugal-Czechia-June-18-2024-European-Championship
365,25,CM,23-172,78,0,0,0,0,1,0,0,0,24,1,1,1,0.1,0.1,0.0,0,0,12,16,75.0,0,10,3,0,0,Šulc Pavel,Portugal-Czechia-June-18-2024-European-Championship
366,8,CM,30-045,12,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,1,0,3,5,60.0,0,4,0,0,0,Ševčík Petr,Portugal-Czechia-June-18-2024-European-Championship
367,14,CM,27-239,78,1,0,0,0,1,1,0,0,34,0,0,2,0.1,0.1,0.0,1,0,19,26,73.1,0,18,1,1,1,Provod Lukáš,Portugal-Czechia-June-18-2024-European-Championship
368,7,CM,29-198,12,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,6,8,75.0,0,8,1,1,0,Barák Antonín,Portugal-Czechia-June-18-2024-European-Championship
369,22,DM,29-112,90,0,0,0,0,1,0,0,0,33,1,3,2,0.1,0.1,0.0,0,0,18,23,78.3,1,13,0,0,0,Souček Tomáš,Portugal-Czechia-June-18-2024-European-Championship
370,18,CB,25-059,90,0,0,0,0,0,0,0,0,39,1,3,0,0.0,0.0,0.0,0,0,24,32,75.0,1,20,1,0,0,Krejčí Ladislav,Portugal-Czechia-June-18-2024-European-Championship
371,4,CB,24-141,90,0,0,0,0,0,0,0,0,27,0,0,2,0.0,0.0,0.0,0,0,11,15,73.3,0,9,0,0,0,Hranáč Robin,Portugal-Czechia-June-18-2024-European-Championship
372,3,CB,31-079,89,0,0,0,0,0,0,0,0,31,3,1,3,0.0,0.0,0.0,0,0,11,17,64.7,1,8,0,0,0,Holeš Tomáš,Portugal-Czechia-June-18-2024-European-Championship
373,19,CB,29-144,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Chorý Tomáš,Portugal-Czechia-June-18-2024-European-Championship
374,1,GK,28-052,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,16,37,43.2,0,17,0,0,0,Staněk Jindřich,Portugal-Czechia-June-18-2024-European-Championship
375,17,FW,29-277,68,0,0,0,0,3,0,0,0,21,0,0,0,0.3,0.3,0.0,2,0,12,14,85.7,3,11,1,1,1,Petković Bruno,Croatia-Albania-June-19-2024-European-Championship
376,16,FW,32-333,22,0,1,0,0,2,2,0,0,13,1,0,0,0.2,0.2,0.7,3,1,4,8,50.0,1,5,1,2,1,Budimir Ante,Croatia-Albania-June-19-2024-European-Championship
377,9,LW,33-000,83,1,0,0,0,1,1,0,0,46,0,0,1,0.2,0.2,0.1,6,0,30,38,78.9,2,29,2,7,4,Kramarić Andrej,Croatia-Albania-June-19-2024-European-Championship
378,26,LW,21-124,7,0,0,0,0,1,1,0,0,5,1,0,0,0.1,0.1,0.0,2,0,2,4,50.0,0,3,1,3,3,Baturina Martin,Croatia-Albania-June-19-2024-European-Championship
379,7,RW,26-154,45,0,0,0,0,1,0,0,0,41,2,0,0,0.1,0.1,0.1,1,0,29,33,87.9,2,29,3,1,1,Majer Lovro,Croatia-Albania-June-19-2024-European-Championship
380,25,"AM,RW",21-285,45,0,0,0,0,2,1,0,0,31,0,1,2,0.6,0.6,0.1,7,0,21,23,91.3,2,19,3,2,2,Sučić Luka,Croatia-Albania-June-19-2024-European-Championship
381,8,"LM,DM",30-044,90,0,0,0,0,3,2,0,0,107,5,0,1,0.2,0.2,0.1,4,1,89,97,91.8,5,75,6,3,1,Kovačić Mateo,Croatia-Albania-June-19-2024-European-Championship
382,11,CM,31-216,45,0,0,0,0,2,1,0,0,68,0,3,0,0.1,0.1,0.0,2,0,61,63,96.8,6,46,1,0,0,Brozović Marcelo,Croatia-Albania-June-19-2024-European-Championship
383,15,"RW,CM",29-131,45,0,0,0,0,3,0,0,0,25,1,0,0,0.4,0.4,0.0,0,0,17,19,89.5,3,12,0,1,0,Pašalić Mario,Croatia-Albania-June-19-2024-European-Championship
384,10,"RM,DM",38-284,90,0,0,0,0,2,0,0,0,134,1,1,0,0.1,0.1,0.6,7,0,108,125,86.4,11,91,7,3,2,Modrić Luka,Croatia-Albania-June-19-2024-European-Championship
385,14,LB,35-138,83,0,0,0,0,1,1,0,0,48,0,0,0,0.0,0.0,0.4,4,0,36,44,81.8,4,33,6,0,0,Perišić Ivan,Croatia-Albania-June-19-2024-European-Championship
386,19,LB,26-150,7,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Sosa Borna,Croatia-Albania-June-19-2024-European-Championship
387,4,CB,22-148,90,0,0,0,0,0,0,0,0,73,1,1,0,0.0,0.0,0.0,1,0,62,66,93.9,10,51,2,3,1,Gvardiol Joško,Croatia-Albania-June-19-2024-European-Championship
388,6,CB,24-112,90,0,0,0,0,1,0,0,0,80,2,8,2,0.6,0.6,0.0,1,0,58,62,93.5,8,39,1,0,0,Šutalo Josip,Croatia-Albania-June-19-2024-European-Championship
389,22,RB,28-308,90,0,0,0,0,0,0,0,0,68,3,0,1,0.0,0.0,0.2,2,0,49,61,80.3,3,21,0,1,0,Juranović Josip,Croatia-Albania-June-19-2024-European-Championship
390,1,GK,29-162,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,13,0,0,0,Livaković Dominik,Croatia-Albania-June-19-2024-European-Championship
391,7,FW,27-116,84,0,0,0,0,2,1,0,0,27,1,1,0,0.1,0.1,0.0,1,0,10,14,71.4,0,19,0,0,0,Manaj Rey,Croatia-Albania-June-19-2024-European-Championship
392,19,FW,26-170,6,0,0,0,0,1,0,1,0,8,1,0,0,0.1,0.1,0.1,2,0,4,5,80.0,1,6,1,0,0,Daku Mirlind,Croatia-Albania-June-19-2024-European-Championship
393,10,"LW,RW,RM",25-112,90,0,0,0,0,2,0,0,0,36,1,0,1,0.1,0.1,0.0,2,0,17,25,68.0,3,23,3,3,1,Bajrami Nedim,Croatia-Albania-June-19-2024-European-Championship
394,9,RW,29-031,63,0,1,0,0,1,0,0,0,16,1,0,1,0.0,0.0,0.4,4,1,7,9,77.8,1,13,2,3,1,Asani Jasir,Croatia-Albania-June-19-2024-European-Championship
395,15,"LW,FW",27-217,27,0,0,0,0,1,1,0,0,11,1,0,0,0.0,0.0,0.1,2,0,8,10,80.0,2,9,1,0,0,Seferi Taulant,Croatia-Albania-June-19-2024-European-Championship
396,14,"AM,RM",28-152,71,1,0,0,0,1,1,0,0,29,2,1,0,0.3,0.3,0.1,3,0,14,22,63.6,3,16,1,1,1,Laçi Qazim,Croatia-Albania-June-19-2024-European-Championship
397,8,"CM,RM",34-188,19,1,0,0,0,2,1,1,0,17,0,0,1,0.3,0.3,0.0,1,0,7,11,63.6,3,4,0,1,0,Gjasula Klaus,Croatia-Albania-June-19-2024-European-Championship
398,21,"CM,DM",22-102,90,0,0,0,0,2,2,0,0,58,1,2,0,0.3,0.3,0.1,4,1,41,51,80.4,3,34,1,0,0,Asllani Kristjan,Croatia-Albania-June-19-2024-European-Championship
399,20,"DM,LM",28-068,84,0,0,0,0,0,0,0,0,39,1,2,3,0.0,0.0,0.0,1,1,24,26,92.3,1,20,1,1,0,Ramadani Ylber,Croatia-Albania-June-19-2024-European-Championship
400,26,LM,25-257,6,0,0,0,0,1,1,0,0,12,0,0,0,0.1,0.1,0.0,2,1,7,9,77.8,0,8,3,3,0,Hoxha Arbër,Croatia-Albania-June-19-2024-European-Championship
401,3,LB,20-318,90,0,0,0,0,0,0,0,0,47,0,2,1,0.0,0.0,0.0,0,0,31,39,79.5,0,22,0,0,0,Mitaj Mario,Croatia-Albania-June-19-2024-European-Championship
402,6,CB,31-121,90,0,0,0,0,0,0,0,0,49,0,0,2,0.0,0.0,0.0,1,0,38,42,90.5,1,17,0,0,0,Djimsiti Berat,Croatia-Albania-June-19-2024-European-Championship
403,5,CB,30-268,90,0,0,0,0,0,0,0,0,27,1,1,3,0.0,0.0,0.0,0,0,13,18,72.2,0,11,1,0,0,Ajeti Arlind,Croatia-Albania-June-19-2024-European-Championship
404,4,RB,30-120,90,0,0,0,0,2,0,1,0,31,1,0,1,0.1,0.1,0.1,2,0,18,24,75.0,3,9,0,0,0,Hysaj Elseid,Croatia-Albania-June-19-2024-European-Championship
405,23,GK,29-092,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,37,70.3,0,25,0,0,0,Strakosha Thomas,Croatia-Albania-June-19-2024-European-Championship
406,7,FW,25-008,57,0,0,0,0,2,2,0,0,27,0,0,1,0.2,0.2,0.0,1,0,13,16,81.3,0,17,1,2,0,Havertz Kai,Germany-Hungary-June-19-2024-European-Championship
407,9,FW,31-131,33,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.1,1,0,5,5,100.0,1,7,0,0,0,Füllkrug Niclas,Germany-Hungary-June-19-2024-European-Championship
408,17,LW,21-047,57,0,0,0,0,1,0,0,0,57,1,0,0,0.0,0.0,0.0,1,0,50,54,92.6,6,52,3,1,1,Wirtz Florian,Germany-Hungary-June-19-2024-European-Championship
409,19,RW,28-160,33,0,0,0,0,3,1,0,0,22,0,0,0,0.2,0.2,0.1,4,0,12,13,92.3,2,20,1,4,1,Sané Leroy,Germany-Hungary-June-19-2024-European-Championship
410,10,"RW,LW",21-114,71,1,0,0,0,3,1,0,0,56,3,0,0,0.2,0.2,0.0,3,1,39,46,84.8,6,50,8,3,1,Musiala Jamal,Germany-Hungary-June-19-2024-European-Championship
411,11,LW,26-162,19,0,0,0,0,1,0,0,0,17,1,0,2,0.0,0.0,0.0,0,0,13,14,92.9,2,13,3,1,1,Führich Chris,Germany-Hungary-June-19-2024-European-Championship
412,21,AM,33-239,83,1,1,0,0,2,1,0,0,50,0,0,0,0.3,0.3,0.2,5,1,39,47,83.0,1,42,0,0,0,Gündoğan İlkay,Germany-Hungary-June-19-2024-European-Championship
413,26,AM,27-336,7,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Undav Deniz,Germany-Hungary-June-19-2024-European-Championship
414,8,DM,34-167,90,0,0,0,0,1,1,0,0,146,2,1,0,0.1,0.1,0.0,7,0,125,142,88.0,23,122,1,0,0,Kroos Toni,Germany-Hungary-June-19-2024-European-Championship
415,23,DM,29-271,71,0,0,0,0,1,0,0,0,58,4,0,1,0.0,0.0,0.0,0,0,44,49,89.8,3,45,0,0,0,Andrich Robert,Germany-Hungary-June-19-2024-European-Championship
416,25,DM,30-159,19,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,16,16,100.0,3,15,1,0,0,Can Emre,Germany-Hungary-June-19-2024-European-Championship
417,18,LB,27-093,90,0,1,0,0,1,0,1,0,74,1,1,0,0.0,0.0,0.2,2,1,53,66,80.3,1,53,0,1,0,Mittelstädt Maximilian,Germany-Hungary-June-19-2024-European-Championship
418,4,CB,28-129,90,0,0,0,0,0,0,0,0,104,0,2,2,0.0,0.0,0.0,2,0,89,92,96.7,3,85,0,0,0,Tah Jonathan,Germany-Hungary-June-19-2024-European-Championship
419,2,CB,31-108,90,0,0,0,0,1,0,1,0,104,0,0,0,0.0,0.0,0.2,3,0,91,97,93.8,10,84,0,0,0,Rüdiger Antonio,Germany-Hungary-June-19-2024-European-Championship
420,6,RB,29-132,90,0,0,0,0,2,1,0,0,93,2,2,3,0.1,0.1,0.2,7,0,75,80,93.8,12,70,5,0,0,Kimmich Joshua,Germany-Hungary-June-19-2024-European-Championship
421,1,GK,38-084,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,19,19,100.0,0,14,0,0,0,Neuer Manuel,Germany-Hungary-June-19-2024-European-Championship
422,19,"FW,AM",30-146,86,0,0,0,0,2,1,1,0,31,0,1,1,0.4,0.4,0.0,0,0,9,20,45.0,2,14,1,1,0,Varga Barnabás,Germany-Hungary-June-19-2024-European-Championship
423,16,AM,28-109,4,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0,Gazdag Dániel,Germany-Hungary-June-19-2024-European-Championship
424,20,"AM,WB",27-028,86,0,0,0,0,3,1,0,0,30,0,1,0,0.4,0.4,0.2,4,0,16,22,72.7,1,24,3,2,0,Sallai Roland,Germany-Hungary-June-19-2024-European-Championship
425,23,WB,23-365,4,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,3,0,1,0,Csoboth Kevin,Germany-Hungary-June-19-2024-European-Championship
426,10,AM,23-238,90,0,0,0,0,3,1,1,0,52,0,2,0,0.1,0.1,0.1,5,0,31,44,70.5,2,32,1,4,0,Szoboszlai Dominik,Germany-Hungary-June-19-2024-European-Championship
427,13,CM,25-067,90,0,0,0,0,0,0,0,0,44,0,0,2,0.0,0.0,0.0,1,0,31,35,88.6,4,30,1,6,3,Schäfer András,Germany-Hungary-June-19-2024-European-Championship
428,8,CM,29-002,63,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,15,19,78.9,2,16,0,0,0,Nagy Ádám,Germany-Hungary-June-19-2024-European-Championship
429,15,CM,30-072,27,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0,Kleinheisler László,Germany-Hungary-June-19-2024-European-Championship
430,11,WB,20-225,74,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.1,2,0,20,25,80.0,1,20,4,0,0,Kerkez Milos,Germany-Hungary-June-19-2024-European-Championship
431,18,WB,31-025,16,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,4,0,1,1,Nagy Zsolt,Germany-Hungary-June-19-2024-European-Championship
432,14,WB,24-210,74,0,0,0,0,2,0,0,0,33,1,0,1,0.1,0.1,0.2,1,0,14,19,73.7,2,19,1,2,0,Bolla Bendegúz,Germany-Hungary-June-19-2024-European-Championship
433,9,FW,29-226,16,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Martin Ádám,Germany-Hungary-June-19-2024-European-Championship
434,24,CB,22-128,90,0,0,0,0,0,0,0,0,51,3,0,2,0.0,0.0,0.0,2,0,29,43,67.4,0,35,0,0,0,Dárdai Márton,Germany-Hungary-June-19-2024-European-Championship
435,6,CB,31-229,90,0,0,0,0,1,0,0,0,49,4,0,7,0.3,0.3,0.0,0,0,30,31,96.8,1,30,0,0,0,Orban Willi,Germany-Hungary-June-19-2024-European-Championship
436,5,CB,34-123,90,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,1,0,25,31,80.6,0,25,0,1,0,Fiola Attila,Germany-Hungary-June-19-2024-European-Championship
437,1,GK,34-044,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,31,36,86.1,0,24,0,0,0,Gulácsi Péter,Germany-Hungary-June-19-2024-European-Championship
438,7,FW,29-245,89,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,2,0,6,14,42.9,1,12,1,1,0,McGinn John,Scotland-Switzerland-June-19-2024-European-Championship
439,11,FW,29-118,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0,Christie Ryan,Scotland-Switzerland-June-19-2024-European-Championship
440,10,FW,27-342,89,0,0,0,0,1,1,0,0,17,1,0,0,0.1,0.1,0.1,2,0,8,9,88.9,1,10,0,0,0,Adams Che,Scotland-Switzerland-June-19-2024-European-Championship
441,9,FW,28-314,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Shankland Lawrence,Scotland-Switzerland-June-19-2024-European-Championship
442,4,AM,27-194,90,1,0,0,0,4,1,1,0,41,0,1,1,0.3,0.3,0.1,6,0,17,25,68.0,0,15,0,1,0,McTominay Scott,Scotland-Switzerland-June-19-2024-European-Championship
443,8,CM,31-005,90,0,1,0,0,1,0,0,0,44,1,1,0,0.0,0.0,0.1,3,1,34,36,94.4,2,24,0,0,0,McGregor Callum,Scotland-Switzerland-June-19-2024-European-Championship
444,14,CM,23-008,78,0,0,0,0,2,0,0,0,50,1,0,2,0.0,0.0,0.0,0,0,33,39,84.6,1,29,0,1,0,Gilmour Billy,Scotland-Switzerland-June-19-2024-European-Championship
445,23,CM,32-163,12,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,1,0,8,11,72.7,2,6,0,0,0,McLean Kenny,Scotland-Switzerland-June-19-2024-European-Championship
446,3,WB,30-100,90,0,0,0,0,0,0,0,0,58,2,0,2,0.0,0.0,0.3,4,1,38,49,77.6,3,21,4,1,0,Robertson Andrew,Scotland-Switzerland-June-19-2024-European-Championship
447,2,WB,25-216,90,0,0,0,0,0,0,0,0,48,2,0,2,0.0,0.0,0.1,2,0,25,39,64.1,1,23,0,2,2,Ralston Anthony,Scotland-Switzerland-June-19-2024-European-Championship
448,6,CB,27-014,60,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,0,0,39,48,81.3,1,34,0,0,0,Tierney Kieran,Scotland-Switzerland-June-19-2024-European-Championship
449,26,CB,27-220,30,0,0,0,0,1,0,1,0,15,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,8,0,0,0,McKenna Scott,Scotland-Switzerland-June-19-2024-European-Championship
450,5,CB,32-212,90,0,0,0,0,1,0,0,0,55,0,0,0,0.2,0.2,0.0,1,0,41,51,80.4,0,35,0,0,0,Hanley Grant,Scotland-Switzerland-June-19-2024-European-Championship
451,13,CB,29-043,90,0,0,0,0,1,0,0,0,47,1,0,0,0.0,0.0,0.0,0,0,30,41,73.2,2,28,0,0,0,Hendry Jack,Scotland-Switzerland-June-19-2024-European-Championship
452,1,GK,28-149,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,24,42,57.1,0,24,0,0,0,Gunn Angus,Scotland-Switzerland-June-19-2024-European-Championship
453,17,"FW,AM",25-319,74,0,0,0,0,2,1,0,0,40,2,1,2,0.1,0.1,0.7,4,0,17,27,63.0,3,26,5,1,0,Vargas Ruben,Scotland-Switzerland-June-19-2024-European-Championship
454,26,AM,22-124,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.2,2,0,3,5,60.0,0,3,1,0,0,Rieder Fabian,Scotland-Switzerland-June-19-2024-European-Championship
455,19,"FW,AM",23-238,85,0,0,0,0,4,1,0,0,27,2,0,0,0.7,0.7,0.0,2,0,12,14,85.7,1,20,5,3,3,Ndoye Dan,Scotland-Switzerland-June-19-2024-European-Championship
456,25,AM,23-198,5,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,0,1,0.0,0,2,0,0,0,Amdouni Zeki,Scotland-Switzerland-June-19-2024-European-Championship
457,23,AM,32-253,59,1,0,0,0,1,1,0,0,34,0,0,0,0.1,0.1,0.0,1,0,23,33,69.7,3,22,0,1,0,Shaqiri Xherdan,Scotland-Switzerland-June-19-2024-European-Championship
458,7,FW,27-126,31,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,1,1,Embolo Breel,Scotland-Switzerland-June-19-2024-European-Championship
459,10,CM,31-266,90,0,0,0,0,1,1,0,0,64,0,0,0,0.0,0.0,0.0,1,0,44,55,80.0,4,30,1,1,1,Xhaka Granit,Scotland-Switzerland-June-19-2024-European-Championship
460,8,CM,32-065,74,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.0,1,0,36,43,83.7,3,28,1,0,0,Freuler Remo,Scotland-Switzerland-June-19-2024-European-Championship
461,16,CM,28-255,16,0,0,0,0,0,0,1,0,15,0,0,1,0.0,0.0,0.0,0,0,7,12,58.3,1,4,0,0,0,Sierro Vincent,Scotland-Switzerland-June-19-2024-European-Championship
462,20,WB,27-165,90,0,0,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.0,2,0,41,49,83.7,5,30,1,1,0,Aebischer Michel,Scotland-Switzerland-June-19-2024-European-Championship
463,3,WB,31-106,85,0,0,0,0,1,0,0,0,44,0,1,2,0.1,0.1,0.0,0,0,24,32,75.0,1,20,1,1,0,Widmer Silvan,Scotland-Switzerland-June-19-2024-European-Championship
464,2,WB,22-108,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Stergiou Leonidas,Scotland-Switzerland-June-19-2024-European-Championship
465,13,CB,31-299,90,0,0,0,0,1,0,1,0,54,1,2,0,0.0,0.0,0.0,2,0,37,46,80.4,4,33,2,0,0,Rodríguez Ricardo,Scotland-Switzerland-June-19-2024-European-Championship
466,5,CB,28-336,90,0,0,0,0,0,0,0,0,61,0,0,1,0.0,0.0,0.0,1,0,49,54,90.7,3,39,0,0,0,Akanji Manuel,Scotland-Switzerland-June-19-2024-European-Championship
467,22,CB,32-182,90,0,0,0,0,0,0,0,0,72,0,3,0,0.0,0.0,0.1,2,0,46,61,75.4,0,53,2,1,0,Schär Fabian,Scotland-Switzerland-June-19-2024-European-Championship
468,1,GK,35-185,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,23,0,0,0,Sommer Yann,Scotland-Switzerland-June-19-2024-European-Championship
469,11,FW,21-020,75,0,0,0,0,2,1,0,0,26,1,0,1,0.4,0.4,0.1,1,0,10,17,58.8,3,12,0,3,0,Šeško Benjamin,Slovenia-Serbia-June-20-2024-European-Championship
470,18,FW,22-094,15,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,0,0,Vipotnik Žan,Slovenia-Serbia-June-20-2024-European-Championship
471,9,FW,30-114,90,0,0,0,0,1,0,0,0,24,1,0,1,0.1,0.1,0.5,3,0,11,16,68.8,0,11,1,1,1,Šporar Andraž,Slovenia-Serbia-June-20-2024-European-Championship
472,17,LM,25-241,63,0,0,0,0,2,1,0,0,25,0,0,0,0.1,0.1,0.0,2,0,11,19,57.9,2,14,2,1,1,Mlakar Jan,Slovenia-Serbia-June-20-2024-European-Championship
473,5,CM,28-158,27,0,0,0,0,0,0,0,0,4,0,0,2,0.0,0.0,0.0,0,0,1,1,100.0,1,0,0,0,0,Gorenc Stanković Jon,Slovenia-Serbia-June-20-2024-European-Championship
474,10,"CM,LM",26-052,89,0,1,0,0,2,0,0,0,58,3,1,2,0.2,0.2,0.5,4,1,33,44,75.0,2,30,5,6,1,Elšnik Timi,Slovenia-Serbia-June-20-2024-European-Championship
475,23,LM,25-200,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Brekalo David,Slovenia-Serbia-June-20-2024-European-Championship
