,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,match
508,Antoine Griezmann,fr France,0.02,0.08,Saved,27,Left Foot,,Adrien Rabiot,Pass (Live),Marcus Thuram,Pass (Live),Netherlands-France-June-21-2024-European-Championship
509,Antoine Griezmann,fr France,0.10,,Off Target,13,Left Foot,,N'Golo Kanté,Pass (Live),Aurélien Tchouaméni,Pass (Live),Netherlands-France-June-21-2024-European-Championship
510,Cody Gakpo,nl Netherlands,0.05,0.42,Saved,22,Right Foot,,Tijjani Reijnders,Pass (Live),Bart Verbruggen,Pass (Live),Netherlands-France-June-21-2024-European-Championship
511,Tijjani Reijnders,nl Netherlands,0.02,,Blocked,28,Right Foot,,Cody Gakpo,Pass (Live),Xavi Simons,Pass (Live),Netherlands-France-June-21-2024-European-Championship
512,Marcus Thuram,fr France,0.06,,Off Target,14,Right Foot,,Jules Koundé,Pass (Live),Mike Maignan,Pass (Live),Netherlands-France-June-21-2024-European-Championship
513,Jeremie Frimpong,nl Netherlands,0.04,,Blocked,15,Right Foot,,,,,,Netherlands-France-June-21-2024-European-Championship
514,Xavi Simons,nl Netherlands,0.04,0.08,Saved,28,Right Foot,,Xavi Simons,Tackle,,,Netherlands-France-June-21-2024-European-Championship
515,Antoine Griezmann,fr France,0.05,,Blocked,23,Left Foot,Free kick,Ousmane Dembélé,Fouled,Marcus Thuram,Pass (Live),Netherlands-France-June-21-2024-European-Championship
516,Antoine Griezmann,fr France,0.06,0.12,Saved,14,Head,,Adrien Rabiot,Pass (Live),Aurélien Tchouaméni,Pass (Live),Netherlands-France-June-21-2024-European-Championship
517,,,,,,,,,,,,,Netherlands-France-June-21-2024-European-Championship
518,Ousmane Dembélé,fr France,0.03,,Blocked,24,Left Foot,,Ousmane Dembélé,Pass (Live),William Saliba,Pass (Live),Netherlands-France-June-21-2024-European-Championship
519,N'Golo Kanté,fr France,0.01,,Off Target,28,Right Foot,,Dayot Upamecano,Pass (Live),Jules Koundé,Pass (Live),Netherlands-France-June-21-2024-European-Championship
520,Memphis,nl Netherlands,0.05,,Blocked,29,Right Foot,Free kick,Xavi Simons,Fouled,Tijjani Reijnders,Pass (Live),Netherlands-France-June-21-2024-European-Championship
521,Adrien Rabiot,fr France,0.22,,Off Target,10,Right Foot,,Ousmane Dembélé,Pass (Live),N'Golo Kanté,Pass (Live),Netherlands-France-June-21-2024-European-Championship
522,Aurélien Tchouaméni,fr France,0.01,,Blocked,32,Right Foot,,N'Golo Kanté,Pass (Live),Aurélien Tchouaméni,Pass (Live),Netherlands-France-June-21-2024-European-Championship
523,Marcus Thuram,fr France,0.04,,Off Target,22,Right Foot,,Adrien Rabiot,Pass (Live),Ousmane Dembélé,Pass (Live),Netherlands-France-June-21-2024-European-Championship
524,Aurélien Tchouaméni,fr France,0.02,,Off Target,13,Head,,Ousmane Dembélé,Pass (Live),Jules Koundé,Pass (Live),Netherlands-France-June-21-2024-European-Championship
525,Antoine Griezmann,fr France,0.73,0.97,Saved,6,Left Foot,,N'Golo Kanté,Pass (Live),Aurélien Tchouaméni,Pass (Live),Netherlands-France-June-21-2024-European-Championship
526,Aurélien Tchouaméni,fr France,0.02,,Blocked,28,Right Foot,,Dayot Upamecano,Pass (Live),Theo Hernández,Pass (Live),Netherlands-France-June-21-2024-European-Championship
527,Ousmane Dembélé,fr France,0.04,,Off Target,17,Left Foot,,Antoine Griezmann,Pass (Live),,,Netherlands-France-June-21-2024-European-Championship
528,Memphis,nl Netherlands,0.24,0.23,Saved,9,Left Foot,,Cody Gakpo,Pass (Live),Tijjani Reijnders,Pass (Live),Netherlands-France-June-21-2024-European-Championship
529,Virgil van Dijk,nl Netherlands,0.01,,Blocked,15,Head,,Joey Veerman,Pass (Dead),Georginio Wijnaldum,Fouled,Netherlands-France-June-21-2024-European-Championship
530,N'Golo Kanté,fr France,0.03,,Blocked,16,Right Foot,,Jules Koundé,Pass (Live),Kingsley Coman,Pass (Live),Netherlands-France-June-21-2024-European-Championship
531,Stefan Posch,at Austria,0.01,0.10,Saved,35,Right Foot,Deflected,Nicolas Seiwald,Pass (Live),Marcel Sabitzer,Pass (Live),Poland-Austria-June-21-2024-European-Championship
532,Gernot Trauner,at Austria,0.08,0.65,Goal,6,Head,,Phillipp Mwene,Pass (Live),Phillipp Mwene,Take-On,Poland-Austria-June-21-2024-European-Championship
533,Marcel Sabitzer,at Austria,0.14,,Blocked,13,Right Foot,,Nicolas Seiwald,Pass (Live),,,Poland-Austria-June-21-2024-European-Championship
534,Marcel Sabitzer,at Austria,0.07,0.14,Saved,16,Right Foot,,Nicolas Seiwald,Pass (Live),,,Poland-Austria-June-21-2024-European-Championship
535,Piotr Zieliński,pl Poland,0.17,,Blocked,15,Right Foot,,Piotr Zieliński,Take-On,Adam Buksa,Pass (Live),Poland-Austria-June-21-2024-European-Championship
536,Nicola Zalewski,pl Poland,0.10,,Off Target,15,Right Foot,,Przemysław Frankowski,Pass (Live),Bartosz Slisz,Pass (Live),Poland-Austria-June-21-2024-European-Championship
537,Piotr Zieliński,pl Poland,0.02,,Blocked,25,Left Foot,,Przemysław Frankowski,Pass (Live),Krzysztof Piątek,Pass (Live),Poland-Austria-June-21-2024-European-Championship
538,Piotr Zieliński,pl Poland,0.10,,Blocked,22,Right Foot,,Bartosz Slisz,Pass (Live),Nicola Zalewski,Pass (Live),Poland-Austria-June-21-2024-European-Championship
539,Jan Bednarek,pl Poland,0.16,,Blocked,11,Right Foot,,Jakub Kiwior,Pass (Live),Przemysław Frankowski,Pass (Live),Poland-Austria-June-21-2024-European-Championship
540,Krzysztof Piątek,pl Poland,0.51,0.94,Goal,6,Right Foot,,Jan Bednarek,Shot,,,Poland-Austria-June-21-2024-European-Championship
541,Marcel Sabitzer,at Austria,0.22,,Blocked,15,Right Foot,,Christoph Baumgartner,Pass (Live),Konrad Laimer,Pass (Live),Poland-Austria-June-21-2024-European-Championship
542,Marcel Sabitzer,at Austria,0.02,,Off Target,32,Right Foot,,Nicolas Seiwald,Pass (Live),Stefan Posch,Pass (Live),Poland-Austria-June-21-2024-European-Championship
543,Piotr Zieliński,pl Poland,0.04,0.27,Saved,31,Right Foot,Free kick,Bartosz Slisz,Fouled,Piotr Zieliński,Pass (Live),Poland-Austria-June-21-2024-European-Championship
544,Jakub Piotrowski,pl Poland,0.02,,Blocked,13,Head,,Piotr Zieliński,Pass (Dead),Piotr Zieliński,Shot,Poland-Austria-June-21-2024-European-Championship
545,,,,,,,,,,,,,Poland-Austria-June-21-2024-European-Championship
546,Stefan Posch,at Austria,0.03,,Blocked,31,Right Foot,,Konrad Laimer,Pass (Live),Marcel Sabitzer,Pass (Live),Poland-Austria-June-21-2024-European-Championship
547,Stefan Posch,at Austria,0.06,0.16,Saved,10,Head,,Patrick Wimmer,Pass (Dead),Stefan Posch,Pass (Live),Poland-Austria-June-21-2024-European-Championship
548,Krzysztof Piątek,pl Poland,0.03,,Off Target,28,Right Foot,,Przemysław Frankowski,Pass (Live),Jakub Moder,Pass (Live),Poland-Austria-June-21-2024-European-Championship
549,Marcel Sabitzer,at Austria,0.04,,Blocked,17,Left Foot,,Nicolas Seiwald,Pass (Live),,,Poland-Austria-June-21-2024-European-Championship
550,Adam Buksa,pl Poland,0.01,,Blocked,17,Head,,Piotr Zieliński,Pass (Dead),Nicola Zalewski,Fouled,Poland-Austria-June-21-2024-European-Championship
551,Piotr Zieliński,pl Poland,0.05,,Blocked,25,Right Foot,Free kick,Jakub Moder,Fouled,Nicola Zalewski,Pass (Live),Poland-Austria-June-21-2024-European-Championship
552,Paweł Dawidowicz,pl Poland,0.10,,Off Target,9,Head,,Piotr Zieliński,Pass (Dead),Jakub Moder,Pass (Live),Poland-Austria-June-21-2024-European-Championship
553,Christoph Baumgartner,at Austria,0.12,0.09,Goal,18,Right Foot,,Alexander Prass,Pass (Live),Nicolas Seiwald,Pass (Live),Poland-Austria-June-21-2024-European-Championship
554,Karol Świderski,pl Poland,0.07,0.06,Saved,22,Left Foot,,Robert Lewandowski,Pass (Live),Jakub Kiwior,Pass (Live),Poland-Austria-June-21-2024-European-Championship
555,Patrick Wimmer,at Austria,0.11,0.16,Saved,18,Right Foot,,Christoph Baumgartner,Pass (Live),Nicolas Seiwald,Pass (Live),Poland-Austria-June-21-2024-European-Championship
556,Nicolas Seiwald,at Austria,0.04,0.02,Saved,28,Right Foot,,Alexander Prass,Pass (Live),Marko Arnautović,Pass (Live),Poland-Austria-June-21-2024-European-Championship
557,Marko Arnautović (pen),at Austria,0.79,0.99,Goal,13,Right Foot,,Marcel Sabitzer,Fouled,Marcel Sabitzer,Take-On,Poland-Austria-June-21-2024-European-Championship
558,Stefan Posch,at Austria,0.04,0.56,Saved,25,Left Foot,,,,,,Poland-Austria-June-21-2024-European-Championship
559,Konrad Laimer,at Austria,0.38,,Off Target,10,Left Foot,,Konrad Laimer,Take-On,Romano Schmid,Pass (Live),Poland-Austria-June-21-2024-European-Championship
560,Piotr Zieliński,pl Poland,0.01,,Off Target,31,Left Foot,,Nicola Zalewski,Pass (Live),Przemysław Frankowski,Pass (Live),Poland-Austria-June-21-2024-European-Championship
561,Kamil Grosicki,pl Poland,0.29,,Off Target,7,Left Foot,Volley,Przemysław Frankowski,Pass (Live),Przemysław Frankowski,Take-On,Poland-Austria-June-21-2024-European-Championship
562,Adam Hložek,cz Czechia,0.16,0.07,Saved,11,Left Foot,,Vladimír Coufal,Pass (Dead),Lukáš Provod,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
563,Ladislav Krejčí,cz Czechia,0.15,,Blocked,11,Right Foot,Volley,Adam Hložek,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
564,Patrik Schick,cz Czechia,0.13,0.15,Saved,9,Left Foot,Volley,Ladislav Krejčí,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
565,Patrik Schick,cz Czechia,0.01,0.32,Saved,14,Head,,David Jurásek,Pass (Live),Václav Černý,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
566,Václav Černý,cz Czechia,0.04,,Blocked,21,Right Foot,,Václav Černý,Take-On,David Jurásek,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
567,Patrik Schick,cz Czechia,0.05,,Blocked,20,Left Foot,,Tomáš Holeš,Pass (Live),Robin Hranáč,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
568,Lukáš Provod,cz Czechia,0.03,0.09,Saved,29,Right Foot,Deflected,David Jurásek,Pass (Live),Ladislav Krejčí,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
569,Patrik Schick,cz Czechia,0.10,,Off Target,8,Head,,Václav Černý,Pass (Live),David Jurásek,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
570,Ladislav Krejčí,cz Czechia,0.03,,Off Target,13,Head,,Vladimír Coufal,Pass (Dead),,,Georgia-Czechia-June-22-2024-European-Championship
571,Adam Hložek,cz Czechia,0.42,0.57,Saved,6,Right Foot,,Ladislav Krejčí,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
572,Václav Černý,cz Czechia,0.45,0.68,Saved,7,Left Foot,,Václav Černý,Pass (Live),Adam Hložek,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
573,Adam Hložek,cz Czechia,0.03,0.02,Saved,22,Right Foot,,,,,,Georgia-Czechia-June-22-2024-European-Championship
574,Otar Kakabadze,ge Georgia,0.02,,Blocked,22,Left Foot,,Anzor Mekvabishvili,Pass (Live),Khvicha Kvaratskhelia,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
575,Georges Mikautadze (pen),ge Georgia,0.79,0.99,Goal,13,Right Foot,,,Fouled,Georges Mikautadze,Fouled,Georgia-Czechia-June-22-2024-European-Championship
576,Patrik Schick,cz Czechia,0.16,0.26,Saved,15,Left Foot,,Tomáš Souček,Pass (Live),Václav Černý,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
577,,,,,,,,,,,,,Georgia-Czechia-June-22-2024-European-Championship
578,Patrik Schick,cz Czechia,0.05,,Blocked,12,Head,,Tomáš Holeš,Pass (Live),Tomáš Souček,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
579,Ondřej Lingr,cz Czechia,0.03,,Blocked,9,Right Foot,,Matěj Jurásek,Pass (Live),Vladimír Coufal,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
580,David Jurásek,cz Czechia,0.02,,Off Target,22,Left Foot,,Ondřej Lingr,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
581,Anzor Mekvabishvili,ge Georgia,0.10,,Off Target,18,Right Foot,,Khvicha Kvaratskhelia,Pass (Live),,,Georgia-Czechia-June-22-2024-European-Championship
582,Ondřej Lingr,cz Czechia,0.16,,Woodwork,5,Head,,Vladimír Coufal,Pass (Dead),Tomáš Holeš,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
583,Patrik Schick,cz Czechia,0.90,0.98,Goal,1,Other,,Ondřej Lingr,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
584,Ladislav Krejčí,cz Czechia,0.06,,Off Target,11,Head,,Vladimír Coufal,Pass (Dead),,,Georgia-Czechia-June-22-2024-European-Championship
585,Matěj Jurásek,cz Czechia,0.02,0.30,Saved,27,Left Foot,,Tomáš Souček,Pass (Live),Tomáš Holeš,Tackle,Georgia-Czechia-June-22-2024-European-Championship
586,Khvicha Kvaratskhelia,ge Georgia,0.02,,Off Target,30,Right Foot,,Giorgi Chakvetadze,Pass (Live),Giorgi Kochorashvili,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
587,Ladislav Krejčí,cz Czechia,0.02,,Blocked,34,Left Foot,,Tomáš Souček,Pass (Live),Vladimír Coufal,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
588,David Jurásek,cz Czechia,0.01,,Off Target,29,Right Foot,,Ladislav Krejčí,Shot,,,Georgia-Czechia-June-22-2024-European-Championship
589,Mojmir Chytil,cz Czechia,0.16,,Off Target,7,Head,,David Jurásek,Pass (Live),Ladislav Krejčí,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
590,Ondřej Lingr,cz Czechia,0.04,0.30,Saved,21,Right Foot,,Robin Hranáč,Pass (Live),,,Georgia-Czechia-June-22-2024-European-Championship
591,Matěj Jurásek,cz Czechia,0.02,,Off Target,29,Left Foot,,Vladimír Coufal,Pass (Live),Robin Hranáč,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
592,Matěj Jurásek,cz Czechia,0.02,0.44,Saved,22,Right Foot,,Ladislav Krejčí,Pass (Live),Antonín Barák,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
593,Tomáš Holeš,cz Czechia,0.03,,Blocked,32,Right Foot,,Ladislav Krejčí,Pass (Live),Petr Ševčík,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
594,Saba Lobzhanidze,ge Georgia,0.16,,Off Target,14,Right Foot,,Giorgi Chakvetadze,Pass (Live),Giorgi Kochorashvili,Pass (Live),Georgia-Czechia-June-22-2024-European-Championship
595,Youri Tielemans,be Belgium,0.04,0.06,Goal,22,Right Foot,,Romelu Lukaku,Pass (Live),Jeremy Doku,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
596,Răzvan Marin,ro Romania,0.03,,Off Target,28,Right Foot,,Dennis Man,Pass (Live),Răzvan Marin,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
597,Radu Drăgușin,ro Romania,0.20,0.13,Saved,8,Head,,Marius Marin,Pass (Live),Nicușor Bancu,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
598,Youri Tielemans,be Belgium,0.04,,Blocked,25,Right Foot,,Jeremy Doku,Pass (Live),Youri Tielemans,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
599,Romelu Lukaku,be Belgium,0.14,,Blocked,10,Right Foot,,Jeremy Doku,Pass (Live),Kevin De Bruyne,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
600,Amadou Onana,be Belgium,0.03,,Off Target,27,Right Foot,Volley,Amadou Onana,Pass (Live),Wout Faes,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
601,Dodi Lukebakio,be Belgium,0.22,0.42,Saved,14,Left Foot,,Kevin De Bruyne,Pass (Live),Kevin De Bruyne,Take-On,Belgium-Romania-June-22-2024-European-Championship
602,Jan Vertonghen,be Belgium,0.08,,Off Target,12,Left Foot,,Jeremy Doku,Pass (Live),Kevin De Bruyne,Pass (Dead),Belgium-Romania-June-22-2024-European-Championship
603,Valentin Mihaila,ro Romania,0.02,,Off Target,26,Right Foot,,Nicolae Stanciu,Pass (Dead),Răzvan Marin,Fouled,Belgium-Romania-June-22-2024-European-Championship
604,Valentin Mihaila,ro Romania,0.02,,Blocked,23,Right Foot,,Florin Niță,Pass (Live),,,Belgium-Romania-June-22-2024-European-Championship
605,Jeremy Doku,be Belgium,0.02,0.10,Saved,12,Left Foot,,Dodi Lukebakio,Pass (Live),Kevin De Bruyne,Pass (Dead),Belgium-Romania-June-22-2024-European-Championship
606,Dodi Lukebakio,be Belgium,0.02,,Blocked,12,Left Foot,Volley,Jeremy Doku,Shot,,,Belgium-Romania-June-22-2024-European-Championship
607,Dodi Lukebakio,be Belgium,0.03,,Blocked,17,Left Foot,,Youri Tielemans,Pass (Live),Jeremy Doku,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
608,Dennis Man,ro Romania,0.02,0.27,Saved,18,Left Foot,,Răzvan Marin,Pass (Live),Marius Marin,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
609,Kevin De Bruyne,be Belgium,0.07,0.70,Saved,15,Right Foot,,Dodi Lukebakio,Pass (Live),Timothy Castagne,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
610,Andrei Burcă,ro Romania,0.08,,Off Target,9,Head,,Nicolae Stanciu,Pass (Live),Dennis Man,Pass (Dead),Belgium-Romania-June-22-2024-European-Championship
611,,,,,,,,,,,,,Belgium-Romania-June-22-2024-European-Championship
612,Dennis Man,ro Romania,0.02,0.02,Saved,28,Left Foot,,Andrei Ratiu,Pass (Live),Dennis Man,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
613,Valentin Mihaila,ro Romania,0.04,,Off Target,14,Left Foot,,,,,,Belgium-Romania-June-22-2024-European-Championship
614,Kevin De Bruyne,be Belgium,0.02,,Off Target,25,Right Foot,,Arthur Theate,Pass (Live),Jeremy Doku,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
615,Kevin De Bruyne,be Belgium,0.08,0.10,Saved,21,Right Foot,,Romelu Lukaku,Pass (Live),Amadou Onana,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
616,Valentin Mihaila,ro Romania,0.02,,Off Target,25,Right Foot,,Nicolae Stanciu,Pass (Live),Valentin Mihaila,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
617,Romelu Lukaku,be Belgium,0.11,,Blocked,17,Right Foot,,Jeremy Doku,Pass (Live),Kevin De Bruyne,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
618,Romelu Lukaku,be Belgium,0.13,0.08,Saved,9,Right Foot,,Kevin De Bruyne,Pass (Dead),Youri Tielemans,Fouled,Belgium-Romania-June-22-2024-European-Championship
619,Jeremy Doku,be Belgium,0.07,,Off Target,11,Left Foot,,Jeremy Doku,Take-On,Kevin De Bruyne,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
620,Romelu Lukaku,be Belgium,0.13,0.15,Saved,10,Right Foot,,Wout Faes,Pass (Live),Jan Vertonghen,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
621,Kevin De Bruyne,be Belgium,0.03,,Off Target,25,Right Foot,,Jeremy Doku,Pass (Live),Leandro Trossard,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
622,Dennis Man,ro Romania,0.09,0.38,Saved,15,Right Foot,,,,,,Belgium-Romania-June-22-2024-European-Championship
623,Răzvan Marin,ro Romania,0.02,,Off Target,36,Right Foot,,Nicolae Stanciu,Pass (Live),Nicușor Bancu,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
624,Kevin De Bruyne,be Belgium,0.28,0.68,Goal,14,Right Foot,,,,,,Belgium-Romania-June-22-2024-European-Championship
625,Denis Alibec,ro Romania,0.25,,Blocked,16,Left Foot,,Andrei Burcă,Pass (Live),Nicușor Bancu,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
626,Radu Drăgușin,ro Romania,0.01,,Off Target,12,Head,,Dennis Man,Pass (Dead),Răzvan Marin,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
627,Leandro Trossard,be Belgium,0.10,,Blocked,14,Right Foot,,Zeno Debast,Pass (Live),Leandro Trossard,Pass (Live),Belgium-Romania-June-22-2024-European-Championship
628,Romelu Lukaku,be Belgium,0.15,0.45,Saved,11,Right Foot,,Orel Mangala,Interception,,,Belgium-Romania-June-22-2024-European-Championship
629,Radu Drăgușin,ro Romania,0.01,,Blocked,32,Right Foot,,Darius Olaru,Pass (Live),Deian Sorescu,Pass (Dead),Belgium-Romania-June-22-2024-European-Championship
630,Cristiano Ronaldo,pt Portugal,0.03,0.22,Saved,17,Right Foot,Volley,Bernardo Silva,Pass (Live),Bruno Fernandes,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
631,Bruno Fernandes,pt Portugal,0.03,,Blocked,31,Left Foot,,Vitinha,Pass (Live),,,Turkiye-Portugal-June-22-2024-European-Championship
632,Kerem Aktürkoğlu,tr Türkiye,0.06,,Off Target,11,Right Foot,Volley,Yunus Akgün,Pass (Live),Kaan Ayhan,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
633,Kerem Aktürkoğlu,tr Türkiye,0.36,,Off Target,4,Right Foot,Volley,Zeki Çelik,Pass (Live),Kaan Ayhan,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
634,Cristiano Ronaldo,pt Portugal,0.09,,Off Target,9,Head,,João Cancelo,Pass (Live),Bernardo Silva,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
635,Rafael Leão,pt Portugal,0.05,,Off Target,11,Head,,Cristiano Ronaldo,Pass (Live),Cristiano Ronaldo,Take-On,Turkiye-Portugal-June-22-2024-European-Championship
636,Bernardo Silva,pt Portugal,0.27,0.78,Goal,10,Left Foot,,Rafael Leão,Pass (Live),Nuno Mendes,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
637,Bruno Fernandes,pt Portugal,0.04,,Off Target,18,Right Foot,Volley,Rafael Leão,Pass (Live),,,Turkiye-Portugal-June-22-2024-European-Championship
638,Kerem Aktürkoğlu,tr Türkiye,0.05,0.22,Saved,12,Right Foot,,Abdülkerim Bardakcı,Pass (Live),Kaan Ayhan,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
639,Orkun Kökçü,tr Türkiye,0.05,,Blocked,13,Right Foot,,Yunus Akgün,Pass (Dead),Kerem Aktürkoğlu,Shot,Turkiye-Portugal-June-22-2024-European-Championship
640,Hakan Çalhanoğlu,tr Türkiye,0.01,,Blocked,27,Right Foot,Volley,Orkun Kökçü,Shot,,,Turkiye-Portugal-June-22-2024-European-Championship
641,Bruno Fernandes,pt Portugal,0.07,,Off Target,16,Right Foot,,João Cancelo,Pass (Live),Bernardo Silva,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
642,Cristiano Ronaldo,pt Portugal,0.05,,Off Target,21,Right Foot,,Bernardo Silva,Pass (Live),João Palhinha,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
643,Orkun Kökçü,tr Türkiye,0.03,0.44,Saved,28,Right Foot,,Kerem Aktürkoğlu,Pass (Live),Hakan Çalhanoğlu,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
644,,,,,,,,,,,,,Turkiye-Portugal-June-22-2024-European-Championship
645,Yusuf Yazıcı,tr Türkiye,0.02,0.02,Saved,31,Left Foot,,Yunus Akgün,Pass (Live),Zeki Çelik,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
646,Bruno Fernandes,pt Portugal,0.78,0.64,Goal,9,Right Foot,,Cristiano Ronaldo,Pass (Live),Rúben Neves,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
647,Yusuf Yazıcı,tr Türkiye,0.02,,Blocked,22,Left Foot,,Ferdi Kadioglu,Pass (Live),Hakan Çalhanoğlu,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
648,Kenan Yıldız,tr Türkiye,0.02,,Off Target,27,Right Foot,,İsmail Yüksek,Pass (Live),Kenan Yıldız,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
649,Cristiano Ronaldo,pt Portugal,0.20,,Off Target,8,Head,,Bernardo Silva,Pass (Live),João Cancelo,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
650,Arda Güler,tr Türkiye,0.01,,Blocked,31,Left Foot,,,,,,Turkiye-Portugal-June-22-2024-European-Championship
651,Bernardo Silva,pt Portugal,0.18,,Blocked,14,Left Foot,,Cristiano Ronaldo,Pass (Live),João Neves,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
652,Arda Güler,tr Türkiye,0.01,,Off Target,54,Left Foot,,Hakan Çalhanoğlu,Pass (Live),İsmail Yüksek,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
653,Rúben Neves,pt Portugal,0.04,,Off Target,28,Right Foot,,Bernardo Silva,Pass (Live),Cristiano Ronaldo,Pass (Live),Turkiye-Portugal-June-22-2024-European-Championship
